component,explained_variance_ratio,cumulative_variance
298,2.1523279569993976e-05,0.9990571764154832
299,2.0860143932488575e-05,0.9990780365594157
300,2.0724926412897784e-05,0.9990987614858287
301,2.0195869589848773e-05,0.9991189573554186
302,1.9694596026640025e-05,0.9991386519514452
303,1.9545272234110055e-05,0.9991581972236794
304,1.93284986384137e-05,0.9991775257223178
305,1.8956243553456977e-05,0.9991964819658712
306,1.8693162525919574e-05,0.9992151751283971
307,1.8558847689179428e-05,0.9992337339760863
308,1.8224277418341642e-05,0.9992519582535047
309,1.8003978878686073e-05,0.9992699622323833
310,1.7639762281803074e-05,0.999287601994665
311,1.724407213826322e-05,0.9993048460668033
312,1.703141809369167e-05,0.999321877484897
313,1.6401699408270077e-05,0.9993382791843053
314,1.6343593577791505e-05,0.9993546227778831
315,1.606786055364037e-05,0.9993706906384368
316,1.585524487123376e-05,0.999386545883308
317,1.5801096582573085e-05,0.9994023469798906
318,1.5461565538860808e-05,0.9994178085454295
319,1.5227813490687087e-05,0.9994330363589202
320,1.5156331424337342e-05,0.9994481926903446
321,1.4809223677166753e-05,0.9994630019140217
322,1.4695348719314085e-05,0.999477697262741
323,1.4242045385885902e-05,0.999491939308127
324,1.4214406443735174e-05,0.9995061537145707
325,1.3661928434530408e-05,0.9995198156430053
326,1.3379869966537057e-05,0.9995331955129718
327,1.3065987170000593e-05,0.9995462615001418
328,1.2955894253334764e-05,0.9995592173943951
329,1.2590018053167932e-05,0.9995718074124483
330,1.2346421164616459e-05,0.999584153833613
331,1.2198212827910923e-05,0.9995963520464409
332,1.1877812779402653e-05,0.9996082298592204
333,1.1555794372514427e-05,0.9996197856535929
334,1.1362898791866273e-05,0.9996311485523848
335,1.107195769881661e-05,0.9996422205100836
336,1.0982231502332315e-05,0.9996532027415859
337,1.0566603442084255e-05,0.999663769345028
338,1.0442236731439692e-05,0.9996742115817594
339,1.0248056787534963e-05,0.9996844596385469
340,9.828053680483334e-06,0.9996942876922273
341,9.690925488104144e-06,0.9997039786177154
342,9.536276754751931e-06,0.9997135148944701
343,9.313366285060715e-06,0.9997228282607552
344,9.045897699536868e-06,0.9997318741584548
345,8.751171770066093e-06,0.9997406253302248
346,8.382004924758721e-06,0.9997490073351496
347,8.1868168079839e-06,0.9997571941519576
348,8.15081335416697e-06,0.9997653449653118
349,7.878851630280886e-06,0.999773223816942
350,7.654304304431686e-06,0.9997808781212464
351,7.502524709218322e-06,0.9997883806459557
352,7.173999288261897e-06,0.999795554645244
353,6.915642934841735e-06,0.9998024702881788
354,6.732272082840764e-06,0.9998092025602616
355,6.561611784044246e-06,0.9998157641720457
356,6.521741377578195e-06,0.9998222859134233
357,6.216922711675908e-06,0.9998285028361349
358,6.028299109095972e-06,0.999834531135244
359,5.958826751988587e-06,0.999840489961996
360,5.8194331272609e-06,0.9998463093951233
361,5.4608081544939685e-06,0.9998517702032778
362,5.344040908654973e-06,0.9998571142441864
363,5.3249882796426085e-06,0.9998624392324661
364,5.057238929783817e-06,0.9998674964713958
365,5.010366415419709e-06,0.9998725068378113
366,4.720155292321025e-06,0.9998772269931036
367,4.645027356922262e-06,0.9998818720204605
368,4.493489968611567e-06,0.9998863655104291
369,4.372819931131636e-06,0.9998907383303602
370,4.134857979600186e-06,0.9998948731883398
371,4.106425261022201e-06,0.9998989796136009
372,4.008891861396248e-06,0.9999029885054622
373,3.934878016016829e-06,0.9999069233834782
374,3.837469821115231e-06,0.9999107608532993
